audio,text
clip_0001.wav,"Dünyanın sonu nə deməkdir ki, dünyanın sonu o demək deyil ki, su gəlib dünyanı bassın evlər və insanlar sualtında qalsın, yox, dünyanın sonu elə bu gündür."
clip_0002.wav,"Gəzən cismimizdir. ruhumuz, mənəviyyatımız ölüb."
clip_0003.wav,"Birinci Qarabağ döyüşçüsü."
clip_0004.wav,"Arzunu ev dustaqlığına buraxılanda milli bayram kimi qeyd olunurdu, bu ölkədə əxlaq və mənəviyyat çox ucuzlaşıb."
clip_0005.wav,"Dünyanın sonu bir neçə illər sonra deyir dağılacaq."
clip_0006.wav,"İnsanlar dünyanın sonu deyəndə hamının ağılına qiyamət gəlir böyük zəlzələ, vulkanlar, zəlzələlər."
clip_0007.wav,"Bir tərəfdə Vətən oğlunun da sağlamlığını itirmiş qazilər, veteranlar, şəhidlər."
clip_0008.wav,"Digər tərəfdə də bəzən heç bir istimai faydası olmayan, qalmaqallarla gündəçə gələnlər."
clip_0009.wav,"Ölkəndən əsas müzakirəsinə çevrilib."
clip_0010.wav,"Bir vaxt müəllimə hörmət vardı, alimə hörmət vardı, hərkimə ƏsgƏrƏ hörmƏt vardı, bu gün isƏ bƏzƏn Ən çox tanınan insanlar sosial mediada mƏşhur olan o."
clip_0011.wav,"Qarmaqalmaqalla gündəmə gələnlərdir."
clip_0012.wav,"Məşhur olmaq pis deyil, ancaq məşhurluq faydalı işin nəticəsində qazanılmalıdır, insanlara örnək olmaq məsuliyyətdir."
clip_0013.wav,"Bu gün gənclərə gəlin bir sual verək, tutalım, Karate üzrə dünya çempionu Rafael Ağayevi neçə nəfər tanıyır?"
clip_0014.wav,"Milli qəhrəman Albert Ağarunov neçə nəfər tanıyır?"
clip_0015.wav,"Xalq artisi Rəşid Behbudovu, kinomuzun dahisi Həsən Məmmədovu neçə nəfər tanıyır?"
clip_0016.wav,"Sosial media qəhrəmanlarından."
clip_0017.wav,"baboşu, Velizarı, Adəmi."
clip_0018.wav,"Sabah hansı cəmiyyətdən söhbət gedəcək?"
clip_0019.wav,"Mən heç kəsin təhqir olunmasını istəmirəm, heç kəsin hüququnun da tapdalanmasını istəmərəm, qanun hər kəs süni eyni olmalıdır, amma eyni zamanda istəyirəm ki."
clip_0020.wav,"Problem iqtisadiyyatda deyil."
clip_0021.wav,"Bir insanın daxilindədir."
clip_0022.wav,"Mənəviyyat ucuzlaşanda, əxlaq ikinci plana keçən də."
clip_0023.wav,"Bəziləri indi düşünür ki, dünyanın sonu bir gün qəfil gələcək."
clip_0024.wav,"Hər şeyi dəyişmək mümkündür, əgər biz əlimizdəki telefonları kənaraq qoyub kitaba başlasaq,"
clip_0025.wav,"Övladlara düzgün örnək göstərsək, qəhrəmanları tanıtsaq, vicdanı yenidən həyatın mərkəzinə gətirsək."
clip_0026.wav,"Onda dünyanın sonunu yox, başlanğıcını yaşayarıq, çünki dünyanın taleyini zəlzələlər yox, insanların vicdanları müəyyən edir."
clip_0027.wav,"Allah bu xalqın mənəviyyatını, vicdanını, milli dəyərlərini qorusun."
clip_0028.wav,"Əgər ruhumuz yaşırsa, dünyada yaşayır, əgər ruhumuz ölübsə, dünyanın sonu artıq başlayır."
clip_0029.wav,"Çıxışımın nəticəsi olaraq."
clip_0030.wav,"Ayaqlar altına satılsın, mənim üçün dünyanın sonu budur."
clip_0031.wav,"Bir daha deyirəm, bir gəncdən bu gün soruşsaq ki, Azərbaycan bayrağını ucaldan bir nəfəri tanıyırsanmı? tanımayacaq."
clip_0032.wav,"Amma sosial şəbəkə qışqıranlarını, qəhrəmanlarını əzbər bilirlər, problem gənclərdə deyil."
clip_0033.wav,"Problem onlara kimi örnək göstərməyinizdədir."
clip_0034.wav,"Ən böyük faciə dediyim kimi zəlzəla, daşqım deyil, ən böyük faciə insanının öz vicdanı qarşısında hesabat verməməsi, vicdanı itirməsi."
clip_0035.wav,"Yalan alqışlananda doğrular."
clip_0036.wav,"Və xahiş edirəm kanalıma abun olun, bəyənin paylaşın, növbəti mövzularda görüşmək ümidi ilə. Sağ olun."
clip_0037.wav,"Rus məktəbləri bağlanırmı?"
clip_0040.wav,"Vətəndaş mövqeyimlə, rayət İmamƏliyev."
clip_0041.wav,"Deyim necə. Putini görəndə mənim bir tağı daim var, o yadıma düşür, uşaq vaxtı, məni və qardaşımı."
clip_0042.wav,"Putinin siyasəti ilə mənim Tağı dayının siyasəti eyni şeydir."
clip_0043.wav,"Sən rus dilində nə qədər danışırsan danış, amma sənin soyun, kökün o mədəniyyəti qəbul etməyəcək."
clip_0044.wav,"Sənin mənəvi aləmin o mədəniyyəti qəbul edə bilməz."
clip_0045.wav,"Dəfələrlə marketdə görmüşəm mən, bir rus qadını bir çörək alır, yaşlı qadındır, kassada növbədə durub gözləyir."
clip_0046.wav,"Amma bizimkilərin bir nümayəndəmiz mütləq."
clip_0047.wav,"Düşmənimiz də olsa budur da, Rus mədəniyyəti Azərbaycanın mədəniyyətini işğal edib."
clip_0048.wav,"Elə bu gün, hər gün, elə bir gün yoxdur ki, kiminsə dediyindən uje prosto və digər bir rus kəlmələri çıxmasın."
clip_0049.wav,"Ailə kiçik dövlətdir."
clip_0050.wav,"Rus dilli məktəblər niyə dövlət tərəfindən maliyyələşmənlidir?"
clip_0051.wav,"Azərbaycan dövləti rus dilində təhsil verən məktəbləri."
clip_0052.wav,"Dövlət hesabından maliyyələşdirməlidirmi?"   
clip_0053.wav,"Yəni qışacası bizim pulumuzdur. Niyə rus məktəblərində təsir səviyyəsi yüksəkdir, Azərbaycan məktəblərində isə eyni keyfiyyat yoxdur?"
clip_0054.wav,"Əgər söhbət xarici dildə təhsildən gedirsə, nəyə görə dövlət büdcəsi hesabına geniş şəkildə məhz rus dilli məktəblər fəaliyyət göstərməlidir?"
clip_0055.wav,"Niyə eyni miqyasda ingilis dilli və ya küş dilli dövlət məktəbləri yoxdur?"
clip_0056.wav,"Əgər məqsəd sırf şagirdlərə xarici dil öyrətməkdirsə, o zaman bu imkan niyə yalnız bir dilə xarici dil kimi rus dilinə?"
clip_0057.wav,"Tətbiq olunub.  bu sualın cavabını mən tapa bilmirəm."
clip_0058.wav,"Rus dilli məktəblərə xərclənir mənim pulum."
clip_0059.wav,"Əsas təhsil dedi, dövlət dedi."
clip_0060.wav,"Xarici fənlərdə yüksək səviyyədə tədris olunur."
clip_0061.wav,"Heç kimin ana dilini öyrənməyi hüquqi müzakirəsi getmirək burda, dediyim kimi."
clip_0062.wav,"Dövlət büdcəsinin niyə bura bölüşdürülməsidir?"
clip_0063.wav,"Dövlət büdcəsi xalqın vəsaitidir, xalqda sual vermək hüququna malikdir, rus dili öyrənilsinmi, bəli, ingilis dili vacibdirmi, əlbəttə."
clip_0064.wav,"türk  dili öyrənilməlidir mütləq, fars dili, Çin dili."
clip_0065.wav,"Ancaq əsas təhsil dili, Azərbaycan dili olmalıdır."
clip_0066.wav,"Mədəni şəkildə müzakirə aparaq, çünki bu məsələ siyasətdən daha çox gələcək nəsillərin təhsilinə və ölkənin gələcəyilə də bağlı bir məsələdir."
clip_0067.wav,"Əziz izləyicilər, kim məşhur olmağı istəyir ?"
clip_0068.wav,"Raiyyət İmaməlliyev vətəndaş mövqeyilə qarşınızdayam, kim gündəmdə qalmaq istəyir, çevrilmək istəyir."
clip_0069.wav,"Çıxsın sosial şəbəkədə, ya da efirdə, ağlına gələni danışsın, amma təhqiri də, tənqidi də qəbul etməlidir."
clip_0070.wav,"Gözü almalıdır, el dilində desək , yeməlidir."
clip_0071.wav,"Hamı bacarar mı?"
clip_0072.wav,"kim bacararsa, onda bu videoya baxsın."
clip_0073.wav,"Evin yuxarı başında olan televizordan bərk yapışmalıdır və hətta lazımdırsa."
clip_0074.wav,"insafən, bacarır da."
clip_0075.wav,"Bacarır. Mirşahın deyir ki, televiziyalar milli mentaliteti təbliğ edir, hamı baxmalıdır."
clip_0076.wav,"Qardaş, qadan alım, iki uşaq anası."
clip_0077.wav,"Dörd dəfə ərə gedib boşanan bir ekspertin, xanımın, gəlib efirdə ailə dəyərlərinin sağlığından danışmağıdırmı?"
clip_0078.wav,"Mirşahın deyir ki,"
clip_0079.wav,"Televiziya baxmamaq, dişləri yumamaq, Çimməmək kimi bir şeydir."
clip_0080.wav,"Bu gün televiziya baxanların çoxu da elə dişlərini yumayanlar, çimməyənlər."
clip_0081.wav,"Ucqar bir dağ kəndində suyu qazı gəlməyən ahıl yaşlı qocalardı."
clip_0082.wav,"televiziyaya baxın, cavan baxmır ki."
clip_0083.wav,"Özünüz də gözəl bilirsiz niyə televizora baxılmır?"
clip_0084.wav,"Eyni qonaqlar, şo xarakter, əxlaqsızlığın təbliği."
clip_0085.wav,Televiziya təkcə əyləncə vasitəsi deyil.
clip_0086.wav,"Tamaşaçı televiziyadan, obyektivlik, problemlərin həllini görmək istəyir."
clip_0087.wav,"Qazı işığı qaldırıb elə hər şey əladır, yaxşıdır, zordu, bizdən başqası yoxdur demək də deyil ki, kor-kor  gör-gör də qardaş."
clip_0088.wav,"Mən sosial şəbəkələrdə hadisələri televiziyadan, daha tez."
clip_0089.wav,"Daha obyektiv xəbər tuturam, onda neyləyirəm televizoru?"
clip_0090.wav,"Mirşahın deyir ki, hamı televiziyaya baxmalıdır, bəs yaxşı, bu insanlar televiziyada niyə uzaqlaşır?"
clip_0091.wav,"Hamı televiziya izləməlidir, hətta televiziya izləməmək."
clip_0092.wav,"Diş yumamaq, çimməmək kimi."
clip_0093.wav,"Təqdim edildi. Bu fikirlə razılaşmayanlardan biri, bəlkə birincisi də mənəm."
clip_0094.wav,"Çünki burda əsas sual budur. İnsanlar niyə televiziyaya baxmırdılar? Bu sualın cavabını əslində biz tamaşaçıların özündən soruşmaq lazım deyil."
clip_0095.wav,"illər əvvəl televiziya evimizin baş guşəsində idi."
clip_0096.wav,"Bu gün insanların böyük hissəsi xəbəri mobil telefondan alır."   
clip_0097.wav,"Sosial şəbəkələr hadisəni saniyələr içində yayınlayır."
clip_0098.wav,"İnsan hadisə yerindən canlı görüntünü izləyir."
clip_0099.wav,"Artıq tamaşaçı məlumat almaq üçün axşam ki, saat doqquz xəbərləri gözləmirəm, bunu qəbul etmək lazımdır. Yəni məsələ təkcə internetdədir."
clip_0100.wav,"Tamaşaçısını öz əli ilə itirib."
clip_0101.wav,"Çünki uzun illər ərzində eyni format təkrarlanır."
clip_0102.wav,"Eyni mövzular, eyni qonaqlar, eyni mübahisələr, eyni verilişlər, eyni qalmaqallar."
clip_0103.wav,"Bir proqramdan çıxan qonaq digər proqrama gedir."
clip_0104.wav,"Sabah yenə başqa kanalda eyni adamları görürük."
clip_0105.wav,"Tamaşaçı isə yeni fikir."
clip_0106.wav,"Yeni sima, yeni yanaşma tərzi gözləyir."
clip_0107.wav,"Komunal xidmətlər, regionlarda insanların üzləşdiyi çətinliklƏr."
clip_0108.wav,"Bunlar cƏmiyyƏtin gündƏlik hƏyatının bir hissƏsidir, yoxsa çal oynasın əjdər əmi, şo xarakterli verilişlƏr nƏ bilim, gƏl mƏnƏ  addım-addım."
